season,player,team,tenure_years
2021,Mustafizur Rahman,Rajasthan Royals,1
2022,Mustafizur Rahman,Delhi Capitals,1
2023,Mustafizur Rahman,Delhi Capitals,2
2024,Mustafizur Rahman,Chennai Super Kings,1
2025,Mustafizur Rahman,Delhi Capitals,1
2024,N Burger,Rajasthan Royals,1
2020,N Jagadeesan,Chennai Super Kings,1
2022,N Jagadeesan,Chennai Super Kings,1
2023,N Jagadeesan,Kolkata Knight Riders,1
2019,N Pooran,Punjab Kings,1
2020,N Pooran,Punjab Kings,2
2021,N Pooran,Punjab Kings,3
2022,N Pooran,Sunrisers Hyderabad,1
2023,N Pooran,Lucknow Super Giants,1
2024,N Pooran,Lucknow Super Giants,2
2025,N Pooran,Lucknow Super Giants,3
2016,N Rana,Mumbai Indians,1
2017,N Rana,Mumbai Indians,2
2018,N Rana,Kolkata Knight Riders,1
2019,N Rana,Kolkata Knight Riders,2
2020,N Rana,Kolkata Knight Riders,3
2021,N Rana,Kolkata Knight Riders,4
2022,N Rana,Kolkata Knight Riders,5
2023,N Rana,Kolkata Knight Riders,6
2024,N Rana,Kolkata Knight Riders,7
2025,N Rana,Rajasthan Royals,1
2012,N Saini,Punjab Kings,1
2024,N Thushara,Mumbai Indians,1
2025,N Thushara,Royal Challengers Bengaluru,1
2023,N Wadhera,Mumbai Indians,1
2024,N Wadhera,Mumbai Indians,2
2025,N Wadhera,Punjab Kings,1
2023,NA Saini,Rajasthan Royals,1
2017,NB Singh,Gujarat Lions,1
2010,ND Doshi,Royal Challengers Bengaluru,1
2011,ND Doshi,Rajasthan Royals,1
2014,NJ Maddinson,Royal Challengers Bengaluru,1
2015,NJ Maddinson,Royal Challengers Bengaluru,2
2011,NJ Rimmington,Punjab Kings,1
2008,NK Patel,Rajasthan Royals,1
2009,NK Patel,Rajasthan Royals,2
2011,NL McCullum,Pune Warriors,1
2010,NLTC Perera,Chennai Super Kings,1
2011,NLTC Perera,Kochi Tuskers Kerala,1
2012,NLTC Perera,Mumbai Indians,1
2013,NLTC Perera,Sunrisers Hyderabad,1
2015,NLTC Perera,Punjab Kings,1
2016,NLTC Perera,Rising Pune Supergiant,1
2013,NM Coulter-Nile,Mumbai Indians,1
2014,NM Coulter-Nile,Delhi Capitals,1
2015,NM Coulter-Nile,Delhi Capitals,2
2016,NM Coulter-Nile,Delhi Capitals,3
2017,NM Coulter-Nile,Kolkata Knight Riders,1
2020,NM Coulter-Nile,Mumbai Indians,1
2021,NM Coulter-Nile,Mumbai Indians,2
2022,NM Coulter-Nile,Rajasthan Royals,1
2016,NS Naik,Punjab Kings,1
2019,NS Naik,Kolkata Knight Riders,1
2020,NS Naik,Kolkata Knight Riders,2
2021,NT Ellis,Punjab Kings,1
2022,NT Ellis,Punjab Kings,2
2023,NT Ellis,Punjab Kings,3
2024,NT Ellis,Punjab Kings,4
2025,NT Ellis,Chennai Super Kings,1
2009,NV Ojha,Rajasthan Royals,1
2010,NV Ojha,Rajasthan Royals,2
2011,NV Ojha,Delhi Capitals,1
2012,NV Ojha,Delhi Capitals,2
2013,NV Ojha,Delhi Capitals,3
2014,NV Ojha,Sunrisers Hyderabad,1
2015,NV Ojha,Sunrisers Hyderabad,2
2016,NV Ojha,Sunrisers Hyderabad,3
2017,NV Ojha,Sunrisers Hyderabad,4
2018,NV Ojha,Delhi Capitals,1
2024,Naman Dhir,Mumbai Indians,1
2025,Naman Dhir,Mumbai Indians,2
2019,Navdeep Saini,Royal Challengers Bengaluru,1
2020,Navdeep Saini,Royal Challengers Bengaluru,2
2021,Navdeep Saini,Royal Challengers Bengaluru,3
2022,Navdeep Saini,Rajasthan Royals,1
2023,Navdeep Saini,Rajasthan Royals,2
2023,Naveen-ul-Haq,Lucknow Super Giants,1
2024,Naveen-ul-Haq,Lucknow Super Giants,2
2023,Nithish Kumar Reddy,Sunrisers Hyderabad,1
2024,Nithish Kumar Reddy,Sunrisers Hyderabad,2
2025,Nithish Kumar Reddy,Sunrisers Hyderabad,3
2023,Noor Ahmad,Gujarat Titans,1
2024,Noor Ahmad,Gujarat Titans,2
2025,Noor Ahmad,Chennai Super Kings,1
2019,O Thomas,Rajasthan Royals,1
2010,OA Shah,Kolkata Knight Riders,1
2011,OA Shah,Kochi Tuskers Kerala,1
2012,OA Shah,Rajasthan Royals,1
2013,OA Shah,Rajasthan Royals,2
2022,OC McCoy,Rajasthan Royals,1
2023,OC McCoy,Rajasthan Royals,2
2022,OF Smith,Punjab Kings,1
2008,P Amarnath,Chennai Super Kings,1
2012,P Awana,Punjab Kings,1
2013,P Awana,Punjab Kings,2
2014,P Awana,Punjab Kings,3
2018,P Chopra,Rajasthan Royals,1
2010,P Dogra,Rajasthan Royals,1
2012,P Dogra,Punjab Kings,1
2013,P Dogra,Kolkata Knight Riders,1
2020,P Dubey,Delhi Capitals,1
2023,P Dubey,Delhi Capitals,1
2025,P Dubey,Punjab Kings,1
2008,P Kumar,Royal Challengers Bengaluru,1
2009,P Kumar,Royal Challengers Bengaluru,2
2010,P Kumar,Royal Challengers Bengaluru,3
2011,P Kumar,Punjab Kings,1
2012,P Kumar,Punjab Kings,2
2013,P Kumar,Punjab Kings,3
2014,P Kumar,Mumbai Indians,1
2015,P Kumar,Sunrisers Hyderabad,1
2016,P Kumar,Gujarat Lions,1
2017,P Kumar,Gujarat Lions,2
2012,P Negi,Delhi Capitals,1
2013,P Negi,Delhi Capitals,2
2014,P Negi,Chennai Super Kings,1
2015,P Negi,Chennai Super Kings,2
2016,P Negi,Delhi Capitals,1
2017,P Negi,Royal Challengers Bengaluru,1
2018,P Negi,Royal Challengers Bengaluru,2
2019,P Negi,Royal Challengers Bengaluru,3
2011,P Parameswaran,Kochi Tuskers Kerala,1
2012,P Parameswaran,Royal Challengers Bengaluru,1
2011,P Prasanth,Kochi Tuskers Kerala,1
2019,P Ray Barman,Royal Challengers Bengaluru,1
2016,P Sahu,Punjab Kings,1
2019,P Simran Singh,Punjab Kings,1
2020,P Simran Singh,Punjab Kings,2
2021,P Simran Singh,Punjab Kings,3
2022,P Simran Singh,Punjab Kings,4
2023,P Simran Singh,Punjab Kings,5
2024,P Simran Singh,Punjab Kings,6
2025,P Simran Singh,Punjab Kings,7
2013,P Suyal,Mumbai Indians,1
2014,P Suyal,Mumbai Indians,2
2015,P Suyal,Mumbai Indians,3
2008,PA Patel,Chennai Super Kings,1
2009,PA Patel,Chennai Super Kings,2
2010,PA Patel,Chennai Super Kings,3
2011,PA Patel,Kochi Tuskers Kerala,1
2012,PA Patel,Deccan Chargers,1
2013,PA Patel,Sunrisers Hyderabad,1
2014,PA Patel,Royal Challengers Bengaluru,1
2015,PA Patel,Mumbai Indians,1
2016,PA Patel,Mumbai Indians,2
2017,PA Patel,Mumbai Indians,3
2018,PA Patel,Royal Challengers Bengaluru,1
2019,PA Patel,Royal Challengers Bengaluru,2
2012,PA Reddy,Deccan Chargers,1
2013,PA Reddy,Sunrisers Hyderabad,1
2022,PBB Rajapaksa,Punjab Kings,1
2023,PBB Rajapaksa,Punjab Kings,2
2009,PC Valthaty,Rajasthan Royals,1
2011,PC Valthaty,Punjab Kings,1
2012,PC Valthaty,Punjab Kings,2
2013,PC Valthaty,Punjab Kings,3
2010,PD Collingwood,Delhi Capitals,1
2023,PD Salt,Delhi Capitals,1
2024,PD Salt,Kolkata Knight Riders,1
2025,PD Salt,Royal Challengers Bengaluru,1
2022,PH Solanki,Chennai Super Kings,1
2025,PHKD Mendis,Sunrisers Hyderabad,1
2014,PJ Cummins,Kolkata Knight Riders,1
2015,PJ Cummins,Kolkata Knight Riders,2
2017,PJ Cummins,Delhi Capitals,1
2020,PJ Cummins,Kolkata Knight Riders,1
2021,PJ Cummins,Kolkata Knight Riders,2
2022,PJ Cummins,Kolkata Knight Riders,3
2024,PJ Cummins,Sunrisers Hyderabad,1
2025,PJ Cummins,Sunrisers Hyderabad,2
2008,PJ Sangwan,Delhi Capitals,1
2009,PJ Sangwan,Delhi Capitals,2
2010,PJ Sangwan,Delhi Capitals,3
2012,PJ Sangwan,Kolkata Knight Riders,1
2013,PJ Sangwan,Kolkata Knight Riders,2
2016,PJ Sangwan,Gujarat Lions,1
2017,PJ Sangwan,Gujarat Lions,2
2018,PJ Sangwan,Mumbai Indians,1
2022,PJ Sangwan,Gujarat Titans,1
2020,PK Garg,Sunrisers Hyderabad,1
2021,PK Garg,Sunrisers Hyderabad,2
2022,PK Garg,Sunrisers Hyderabad,3
2023,PK Garg,Delhi Capitals,1
2008,PM Sarvesh Kumar,Deccan Chargers,1
2022,PN Mankad,Punjab Kings,1
2023,PN Mankad,Lucknow Super Giants,1
2008,PP Chawla,Punjab Kings,1
2009,PP Chawla,Punjab Kings,2
2010,PP Chawla,Punjab Kings,3
2011,PP Chawla,Punjab Kings,4
2012,PP Chawla,Punjab Kings,5
2013,PP Chawla,Punjab Kings,6
2014,PP Chawla,Kolkata Knight Riders,1
2015,PP Chawla,Kolkata Knight Riders,2
2016,PP Chawla,Kolkata Knight Riders,3
2017,PP Chawla,Kolkata Knight Riders,4
2018,PP Chawla,Kolkata Knight Riders,5
2019,PP Chawla,Kolkata Knight Riders,6
2020,PP Chawla,Chennai Super Kings,1
2021,PP Chawla,Mumbai Indians,1
2023,PP Chawla,Mumbai Indians,1
2024,PP Chawla,Mumbai Indians,2
2008,PP Ojha,Deccan Chargers,1
2009,PP Ojha,Deccan Chargers,2
2010,PP Ojha,Deccan Chargers,3
2011,PP Ojha,Deccan Chargers,4
2012,PP Ojha,Mumbai Indians,1
2013,PP Ojha,Mumbai Indians,2
2014,PP Ojha,Mumbai Indians,3
2015,PP Ojha,Mumbai Indians,4
2018,PP Shaw,Delhi Capitals,1
2019,PP Shaw,Delhi Capitals,2
2020,PP Shaw,Delhi Capitals,3
2021,PP Shaw,Delhi Capitals,4
2022,PP Shaw,Delhi Capitals,5
2023,PP Shaw,Delhi Capitals,6
2024,PP Shaw,Delhi Capitals,7
2008,PR Shah,Mumbai Indians,1
2009,PR Shah,Mumbai Indians,2
2011,PR Shah,Rajasthan Royals,1
2016,PSP Handscomb,Rising Pune Supergiant,1
2013,PV Tambe,Rajasthan Royals,1
2014,PV Tambe,Rajasthan Royals,2
2015,PV Tambe,Rajasthan Royals,3
2016,PV Tambe,Gujarat Lions,1
2022,PVD Chameera,Lucknow Super Giants,1
2024,PVD Chameera,Kolkata Knight Riders,1
2025,PVD Chameera,Delhi Capitals,1
2025,PVSN Raju,Mumbai Indians,1
2025,PWA Mulder,Sunrisers Hyderabad,1
2021,PWH de Silva,Royal Challengers Bengaluru,1
2022,PWH de Silva,Royal Challengers Bengaluru,2
2023,PWH de Silva,Royal Challengers Bengaluru,3
2025,PWH de Silva,Rajasthan Royals,1
2008,Pankaj Singh,Rajasthan Royals,1
2009,Pankaj Singh,Royal Challengers Bengaluru,1
2010,Pankaj Singh,Royal Challengers Bengaluru,2
2011,Pankaj Singh,Rajasthan Royals,1
2012,Pankaj Singh,Rajasthan Royals,2
2013,Parvez Rasool,Pune Warriors,1
2014,Parvez Rasool,Sunrisers Hyderabad,1
2015,Parvez Rasool,Sunrisers Hyderabad,2
2016,Parvez Rasool,Royal Challengers Bengaluru,1
2025,Prince Yadav,Lucknow Super Giants,1
2025,Priyansh Arya,Punjab Kings,1
2013,Q de Kock,Sunrisers Hyderabad,1
2014,Q de Kock,Delhi Capitals,1
2015,Q de Kock,Delhi Capitals,2
2016,Q de Kock,Delhi Capitals,3
2018,Q de Kock,Royal Challengers Bengaluru,1
2019,Q de Kock,Mumbai Indians,1
2020,Q de Kock,Mumbai Indians,2
2021,Q de Kock,Mumbai Indians,3
2022,Q de Kock,Lucknow Super Giants,1
2023,Q de Kock,Lucknow Super Giants,2
2024,Q de Kock,Lucknow Super Giants,3
2025,Q de Kock,Kolkata Knight Riders,1
2009,R Ashwin,Chennai Super Kings,1
2010,R Ashwin,Chennai Super Kings,2
2011,R Ashwin,Chennai Super Kings,3
2012,R Ashwin,Chennai Super Kings,4
2013,R Ashwin,Chennai Super Kings,5
2014,R Ashwin,Chennai Super Kings,6
2015,R Ashwin,Chennai Super Kings,7
2016,R Ashwin,Rising Pune Supergiant,1
2018,R Ashwin,Punjab Kings,1
2019,R Ashwin,Punjab Kings,2
2020,R Ashwin,Delhi Capitals,1
2021,R Ashwin,Delhi Capitals,2
2022,R Ashwin,Rajasthan Royals,1
2023,R Ashwin,Rajasthan Royals,2
2024,R Ashwin,Rajasthan Royals,3
2025,R Ashwin,Chennai Super Kings,1
2008,R Bhatia,Delhi Capitals,1
2009,R Bhatia,Delhi Capitals,2
2010,R Bhatia,Delhi Capitals,3
2011,R Bhatia,Kolkata Knight Riders,1
2012,R Bhatia,Kolkata Knight Riders,2
2013,R Bhatia,Kolkata Knight Riders,3
2014,R Bhatia,Rajasthan Royals,1
2015,R Bhatia,Rajasthan Royals,2
2016,R Bhatia,Rising Pune Supergiant,1
2017,R Bhatia,Rising Pune Supergiant,2
2009,R Bishnoi,Royal Challengers Bengaluru,1
2013,R Dhawan,Mumbai Indians,1
2014,R Dhawan,Punjab Kings,1
2015,R Dhawan,Punjab Kings,2
2016,R Dhawan,Punjab Kings,3
2022,R Dhawan,Punjab Kings,1
2023,R Dhawan,Punjab Kings,2
2024,R Dhawan,Punjab Kings,3
2008,R Dravid,Royal Challengers Bengaluru,1
2009,R Dravid,Royal Challengers Bengaluru,2
2010,R Dravid,Royal Challengers Bengaluru,3
2011,R Dravid,Rajasthan Royals,1
2012,R Dravid,Rajasthan Royals,2
2013,R Dravid,Rajasthan Royals,3
2023,R Goyal,Mumbai Indians,1
2010,R McLaren,Mumbai Indians,1
2011,R McLaren,Punjab Kings,1
2013,R McLaren,Kolkata Knight Riders,1
2025,R Minz,Mumbai Indians,1
2011,R Ninan,Royal Challengers Bengaluru,1
2019,R Parag,Rajasthan Royals,1
2020,R Parag,Rajasthan Royals,2
2021,R Parag,Rajasthan Royals,3
2022,R Parag,Rajasthan Royals,4
2023,R Parag,Rajasthan Royals,5
2024,R Parag,Rajasthan Royals,6
2025,R Parag,Rajasthan Royals,7
2022,R Powell,Delhi Capitals,1
2023,R Powell,Delhi Capitals,2
2024,R Powell,Rajasthan Royals,1
2025,R Powell,Kolkata Knight Riders,1
2013,R Rampaul,Royal Challengers Bengaluru,1
2014,R Rampaul,Royal Challengers Bengaluru,2
2024,R Ravindra,Chennai Super Kings,1
2025,R Ravindra,Chennai Super Kings,2
2022,R Sai Kishore,Gujarat Titans,1
2024,R Sai Kishore,Gujarat Titans,1
2025,R Sai Kishore,Gujarat Titans,2
2022,R Sanjay Yadav,Mumbai Indians,1
2010,R Sathish,Mumbai Indians,1
2011,R Sathish,Mumbai Indians,2
2013,R Sathish,Punjab Kings,1
2016,R Sathish,Kolkata Knight Riders,1
2010,R Sharma,Deccan Chargers,1
2011,R Sharma,Pune Warriors,1
2012,R Sharma,Pune Warriors,2
2013,R Sharma,Pune Warriors,3
2014,R Sharma,Delhi Capitals,1
2022,R Shepherd,Sunrisers Hyderabad,1
2023,R Shepherd,Lucknow Super Giants,1
2024,R Shepherd,Mumbai Indians,1
2025,R Shepherd,Royal Challengers Bengaluru,1
2012,R Shukla,Mumbai Indians,1
2013,R Shukla,Rajasthan Royals,1
2014,R Shukla,Delhi Capitals,1
2014,R Tewatia,Rajasthan Royals,1
2015,R Tewatia,Rajasthan Royals,2
2017,R Tewatia,Punjab Kings,1
2018,R Tewatia,Delhi Capitals,1
2019,R Tewatia,Delhi Capitals,2
2020,R Tewatia,Rajasthan Royals,1
2021,R Tewatia,Rajasthan Royals,2
2022,R Tewatia,Gujarat Titans,1
2023,R Tewatia,Gujarat Titans,2
2024,R Tewatia,Gujarat Titans,3
2025,R Tewatia,Gujarat Titans,4
2008,R Vinay Kumar,Royal Challengers Bengaluru,1
2009,R Vinay Kumar,Royal Challengers Bengaluru,2
2010,R Vinay Kumar,Royal Challengers Bengaluru,3
2011,R Vinay Kumar,Kochi Tuskers Kerala,1
2012,R Vinay Kumar,Royal Challengers Bengaluru,1
2013,R Vinay Kumar,Royal Challengers Bengaluru,2
2014,R Vinay Kumar,Kolkata Knight Riders,1
2015,R Vinay Kumar,Mumbai Indians,1
2016,R Vinay Kumar,Mumbai Indians,2
2017,R Vinay Kumar,Mumbai Indians,3
2018,R Vinay Kumar,Kolkata Knight Riders,1
2022,RA Bawa,Punjab Kings,1
2025,RA Bawa,Mumbai Indians,1
2008,RA Jadeja,Rajasthan Royals,1
2009,RA Jadeja,Rajasthan Royals,2
2011,RA Jadeja,Kochi Tuskers Kerala,1
2012,RA Jadeja,Chennai Super Kings,1
2013,RA Jadeja,Chennai Super Kings,2
2014,RA Jadeja,Chennai Super Kings,3
2015,RA Jadeja,Chennai Super Kings,4
2016,RA Jadeja,Gujarat Lions,1
2017,RA Jadeja,Gujarat Lions,2
2018,RA Jadeja,Chennai Super Kings,1
2019,RA Jadeja,Chennai Super Kings,2
2020,RA Jadeja,Chennai Super Kings,3
2021,RA Jadeja,Chennai Super Kings,4
2022,RA Jadeja,Chennai Super Kings,5
2023,RA Jadeja,Chennai Super Kings,6
2024,RA Jadeja,Chennai Super Kings,7
2025,RA Jadeja,Chennai Super Kings,8
2009,RA Shaikh,Mumbai Indians,1
2017,RA Tripathi,Rising Pune Supergiant,1
2018,RA Tripathi,Rajasthan Royals,1
2019,RA Tripathi,Rajasthan Royals,2
2020,RA Tripathi,Kolkata Knight Riders,1
2021,RA Tripathi,Kolkata Knight Riders,2
2022,RA Tripathi,Sunrisers Hyderabad,1
2023,RA Tripathi,Sunrisers Hyderabad,2
2024,RA Tripathi,Sunrisers Hyderabad,3
2025,RA Tripathi,Chennai Super Kings,1
2017,RD Chahar,Rising Pune Supergiant,1
2019,RD Chahar,Mumbai Indians,1
2020,RD Chahar,Mumbai Indians,2
2021,RD Chahar,Mumbai Indians,3
2022,RD Chahar,Punjab Kings,1
2023,RD Chahar,Punjab Kings,2
2024,RD Chahar,Punjab Kings,3
2025,RD Chahar,Sunrisers Hyderabad,1
2020,RD Gaikwad,Chennai Super Kings,1
2021,RD Gaikwad,Chennai Super Kings,2
2022,RD Gaikwad,Chennai Super Kings,3
2023,RD Gaikwad,Chennai Super Kings,4
2024,RD Gaikwad,Chennai Super Kings,5
2025,RD Gaikwad,Chennai Super Kings,6
2025,RD Rickelton,Mumbai Indians,1
2012,RE Levi,Mumbai Indians,1
2009,RE van der Merwe,Royal Challengers Bengaluru,1
2010,RE van der Merwe,Royal Challengers Bengaluru,2
2011,RE van der Merwe,Delhi Capitals,1
2012,RE van der Merwe,Delhi Capitals,2
2013,RE van der Merwe,Delhi Capitals,3
2015,RG More,Chennai Super Kings,1
2008,RG Sharma,Deccan Chargers,1
2009,RG Sharma,Deccan Chargers,2
2010,RG Sharma,Deccan Chargers,3
2011,RG Sharma,Mumbai Indians,1
2012,RG Sharma,Mumbai Indians,2
2013,RG Sharma,Mumbai Indians,3
2014,RG Sharma,Mumbai Indians,4
2015,RG Sharma,Mumbai Indians,5
2016,RG Sharma,Mumbai Indians,6
2017,RG Sharma,Mumbai Indians,7
2018,RG Sharma,Mumbai Indians,8
2019,RG Sharma,Mumbai Indians,9
2020,RG Sharma,Mumbai Indians,10
2021,RG Sharma,Mumbai Indians,11
2022,RG Sharma,Mumbai Indians,12
2023,RG Sharma,Mumbai Indians,13
2024,RG Sharma,Mumbai Indians,14
2025,RG Sharma,Mumbai Indians,15
2024,RJ Gleeson,Chennai Super Kings,1
2025,RJ Gleeson,Mumbai Indians,1
2009,RJ Harris,Deccan Chargers,1
2010,RJ Harris,Deccan Chargers,2
2011,RJ Harris,Punjab Kings,1
2012,RJ Harris,Punjab Kings,2
2013,RJ Harris,Punjab Kings,3
2012,RJ Peterson,Mumbai Indians,1
2009,RJ Quiney,Rajasthan Royals,1
2023,RJW Topley,Royal Challengers Bengaluru,1
2024,RJW Topley,Royal Challengers Bengaluru,2
2025,RJW Topley,Mumbai Indians,1
2018,RK Bhui,Sunrisers Hyderabad,1
2019,RK Bhui,Sunrisers Hyderabad,2
2024,RK Bhui,Delhi Capitals,1
2018,RK Singh,Kolkata Knight Riders,1
2019,RK Singh,Kolkata Knight Riders,2
2020,RK Singh,Kolkata Knight Riders,3
2022,RK Singh,Kolkata Knight Riders,1
2023,RK Singh,Kolkata Knight Riders,2
2024,RK Singh,Kolkata Knight Riders,3
2025,RK Singh,Kolkata Knight Riders,4
2021,RM Patidar,Royal Challengers Bengaluru,1
2022,RM Patidar,Royal Challengers Bengaluru,2
2024,RM Patidar,Royal Challengers Bengaluru,1
2025,RM Patidar,Royal Challengers Bengaluru,2
2011,RN ten Doeschate,Kolkata Knight Riders,1
2012,RN ten Doeschate,Kolkata Knight Riders,2
2013,RN ten Doeschate,Kolkata Knight Riders,3
2014,RN ten Doeschate,Kolkata Knight Riders,4
2015,RN ten Doeschate,Kolkata Knight Riders,5
2021,RP Meredith,Punjab Kings,1
2022,RP Meredith,Mumbai Indians,1
2023,RP Meredith,Mumbai Indians,2
2008,RP Singh,Deccan Chargers,1
2009,RP Singh,Deccan Chargers,2
2010,RP Singh,Deccan Chargers,3
2011,RP Singh,Kochi Tuskers Kerala,1
2012,RP Singh,Mumbai Indians,1
2013,RP Singh,Royal Challengers Bengaluru,1
2016,RP Singh,Rising Pune Supergiant,1
2012,RR Bhatkal,Royal Challengers Bengaluru,1
2009,RR Bose,Punjab Kings,1
2016,RR Pant,Delhi Capitals,1
2017,RR Pant,Delhi Capitals,2
2018,RR Pant,Delhi Capitals,3
2019,RR Pant,Delhi Capitals,4
2020,RR Pant,Delhi Capitals,5
2021,RR Pant,Delhi Capitals,6
2022,RR Pant,Delhi Capitals,7
2024,RR Pant,Delhi Capitals,1
2025,RR Pant,Lucknow Super Giants,1
2008,RR Powar,Punjab Kings,1
2009,RR Powar,Punjab Kings,2
2010,RR Powar,Punjab Kings,3
2011,RR Powar,Kochi Tuskers Kerala,1
2012,RR Powar,Punjab Kings,1
2008,RR Raje,Mumbai Indians,1
2009,RR Raje,Mumbai Indians,2
2014,RR Rossouw,Royal Challengers Bengaluru,1
2015,RR Rossouw,Royal Challengers Bengaluru,2
2023,RR Rossouw,Delhi Capitals,1
2024,RR Rossouw,Punjab Kings,1
2008,RR Sarwan,Punjab Kings,1
2009,RS Bopara,Punjab Kings,1
2010,RS Bopara,Punjab Kings,2
2015,RS Bopara,Sunrisers Hyderabad,1
2010,RS Gavaskar,Kolkata Knight Riders,1
2023,RS Hangargekar,Chennai Super Kings,1
2010,RS Sodhi,Punjab Kings,1
2008,RT Ponting,Kolkata Knight Riders,1
2013,RT Ponting,Mumbai Indians,1
2011,RV Gomez,Kochi Tuskers Kerala,1
2013,RV Gomez,Pune Warriors,1
2021,RV Patel,Delhi Capitals,1
2022,RV Patel,Delhi Capitals,2
2023,RV Patel,Delhi Capitals,3
2008,RV Uthappa,Mumbai Indians,1
2009,RV Uthappa,Royal Challengers Bengaluru,1
2010,RV Uthappa,Royal Challengers Bengaluru,2
2011,RV Uthappa,Pune Warriors,1
2012,RV Uthappa,Pune Warriors,2
2013,RV Uthappa,Pune Warriors,3
2014,RV Uthappa,Kolkata Knight Riders,1
2015,RV Uthappa,Kolkata Knight Riders,2
2016,RV Uthappa,Kolkata Knight Riders,3
2017,RV Uthappa,Kolkata Knight Riders,4
2018,RV Uthappa,Kolkata Knight Riders,5
2019,RV Uthappa,Kolkata Knight Riders,6
2020,RV Uthappa,Rajasthan Royals,1
2021,RV Uthappa,Chennai Super Kings,1
2022,RV Uthappa,Chennai Super Kings,2
2011,RW Price,Mumbai Indians,1
2023,Rahmanullah Gurbaz,Kolkata Knight Riders,1
2024,Rahmanullah Gurbaz,Kolkata Knight Riders,2
2025,Rahmanullah Gurbaz,Kolkata Knight Riders,3
2022,Ramandeep Singh,Mumbai Indians,1
2024,Ramandeep Singh,Kolkata Knight Riders,1
2025,Ramandeep Singh,Kolkata Knight Riders,2
2017,Rashid Khan,Sunrisers Hyderabad,1
2018,Rashid Khan,Sunrisers Hyderabad,2
2019,Rashid Khan,Sunrisers Hyderabad,3
2020,Rashid Khan,Sunrisers Hyderabad,4
2021,Rashid Khan,Sunrisers Hyderabad,5
2022,Rashid Khan,Gujarat Titans,1
2023,Rashid Khan,Gujarat Titans,2
2024,Rashid Khan,Gujarat Titans,3
2025,Rashid Khan,Gujarat Titans,4
2019,Rasikh Salam,Mumbai Indians,1
2022,Rasikh Salam,Kolkata Knight Riders,1
2024,Rasikh Salam,Delhi Capitals,1
2025,Rasikh Salam,Royal Challengers Bengaluru,1
2020,Ravi Bishnoi,Punjab Kings,1
2021,Ravi Bishnoi,Punjab Kings,2
2022,Ravi Bishnoi,Lucknow Super Giants,1
2023,Ravi Bishnoi,Lucknow Super Giants,2
2024,Ravi Bishnoi,Lucknow Super Giants,3
2025,Ravi Bishnoi,Lucknow Super Giants,4
2008,S Anirudha,Chennai Super Kings,1
2010,S Anirudha,Chennai Super Kings,1
2011,S Anirudha,Chennai Super Kings,2
2012,S Anirudha,Chennai Super Kings,3
2013,S Anirudha,Chennai Super Kings,4
2014,S Anirudha,Sunrisers Hyderabad,1
2011,S Aravind,Royal Challengers Bengaluru,1
2012,S Aravind,Royal Challengers Bengaluru,2
2015,S Aravind,Royal Challengers Bengaluru,1
2016,S Aravind,Royal Challengers Bengaluru,2
2017,S Aravind,Royal Challengers Bengaluru,3
2013,S Badree,Rajasthan Royals,1
2014,S Badree,Chennai Super Kings,1
2017,S Badree,Royal Challengers Bengaluru,1
2008,S Badrinath,Chennai Super Kings,1
2009,S Badrinath,Chennai Super Kings,2
2010,S Badrinath,Chennai Super Kings,3
2011,S Badrinath,Chennai Super Kings,4
2012,S Badrinath,Chennai Super Kings,5
2013,S Badrinath,Chennai Super Kings,6
2008,S Chanderpaul,Royal Challengers Bengaluru,1
2008,S Dhawan,Delhi Capitals,1
2009,S Dhawan,Mumbai Indians,1
2010,S Dhawan,Mumbai Indians,2
2011,S Dhawan,Deccan Chargers,1
2012,S Dhawan,Deccan Chargers,2
2013,S Dhawan,Sunrisers Hyderabad,1
2014,S Dhawan,Sunrisers Hyderabad,2
2015,S Dhawan,Sunrisers Hyderabad,3
2016,S Dhawan,Sunrisers Hyderabad,4
2017,S Dhawan,Sunrisers Hyderabad,5
2018,S Dhawan,Sunrisers Hyderabad,6
2019,S Dhawan,Delhi Capitals,1
2020,S Dhawan,Delhi Capitals,2
2021,S Dhawan,Delhi Capitals,3
2022,S Dhawan,Punjab Kings,1
2023,S Dhawan,Punjab Kings,2
2024,S Dhawan,Punjab Kings,3
2019,S Dube,Royal Challengers Bengaluru,1
2020,S Dube,Royal Challengers Bengaluru,2
2021,S Dube,Rajasthan Royals,1
2022,S Dube,Chennai Super Kings,1
2023,S Dube,Chennai Super Kings,2
2024,S Dube,Chennai Super Kings,3
2025,S Dube,Chennai Super Kings,4
2014,S Gopal,Mumbai Indians,1
2015,S Gopal,Mumbai Indians,2
2016,S Gopal,Mumbai Indians,3
2018,S Gopal,Rajasthan Royals,1
2019,S Gopal,Rajasthan Royals,2
2020,S Gopal,Rajasthan Royals,3
2021,S Gopal,Rajasthan Royals,4
2022,S Gopal,Sunrisers Hyderabad,1
2024,S Gopal,Mumbai Indians,1
2024,S Joseph,Lucknow Super Giants,1
2013,S Kaul,Delhi Capitals,1
2014,S Kaul,Delhi Capitals,2
2017,S Kaul,Sunrisers Hyderabad,1
2018,S Kaul,Sunrisers Hyderabad,2
2019,S Kaul,Sunrisers Hyderabad,3
2020,S Kaul,Sunrisers Hyderabad,4
2021,S Kaul,Sunrisers Hyderabad,5
2022,S Kaul,Royal Challengers Bengaluru,1
2016,S Kaushik,Gujarat Lions,1
